iter	Passed	Remaining
825	2389	12075
826	2392	12071
827	2394	12066
828	2397	12061
829	2399	12056
830	2402	12051
831	2404	12046
832	2407	12042
833	2409	12037
834	2412	12032
835	2414	12028
836	2417	12023
837	2419	12018
838	2422	12015
839	2425	12009
840	2427	12005
841	2430	12000
842	2432	11995
843	2435	11992
844	2437	11987
845	2440	11982
846	2442	11978
847	2445	11974
848	2448	11970
849	2451	11966
850	2453	11962
851	2456	11957
852	2458	11953
853	2461	11951
854	2464	11948
855	2467	11945
856	2470	11942
857	2473	11940
858	2476	11937
859	2479	11934
860	2482	11932
861	2485	11930
862	2488	11927
863	2490	11922
864	2493	11917
865	2495	11913
866	2498	11909
867	2501	11907
868	2503	11902
869	2506	11898
870	2508	11893
871	2511	11890
872	2514	11887
873	2517	11882
874	2519	11877
875	2522	11873
876	2524	11868
877	2527	11866
878	2529	11860
879	2532	11855
880	2534	11850
881	2536	11844
882	2539	11839
883	2542	11836
884	2545	11836
885	2548	11832
886	2550	11828
887	2553	11823
888	2555	11818
889	2558	11814
890	2560	11809
891	2563	11804
892	2565	11800
893	2568	11794
894	2570	11789
895	2573	11785
896	2575	11780
897	2577	11776
898	2580	11770
899	2582	11765
900	2585	11761
901	2587	11757
902	2590	11753
903	2593	11749
904	2595	11745
905	2598	11741
906	2600	11737
907	2603	11733
908	2606	11729
909	2608	11724
910	2611	11721
911	2613	11716
912	2616	11711
913	2618	11707
914	2621	11702
915	2623	11698
916	2626	11693
917	2628	11688
918	2631	11683
919	2633	11678
920	2635	11673
921	2638	11669
922	2640	11664
923	2643	11659
924	2645	11656
925	2648	11652
926	2651	11648
927	2653	11643
928	2656	11639
929	2658	11635
930	2661	11630
931	2663	11626
932	2666	11621
933	2668	11616
934	2671	11612
935	2673	11607
936	2675	11602
937	2678	11598
938	2680	11592
939	2683	11588
940	2685	11583
941	2687	11578
942	2690	11574
943	2692	11569
944	2695	11564
945	2697	11560
946	2699	11554
947	2702	11549
948	2704	11545
949	2707	11540
950	2709	11537
951	2712	11532
952	2714	11527
953	2716	11522
954	2719	11517
955	2721	11513
956	2724	11508
957	2726	11505
958	2729	11503
959	2736	11516
960	2740	11517
961	2743	11517
962	2746	11515
963	2750	11514
964	2755	11520
965	2758	11520
966	2762	11521
967	2770	11541
968	2775	11544
969	2778	11542
970	2781	11539
971	2784	11541
972	2788	11542
973	2791	11540
974	2795	11539
975	2798	11537
976	2801	11536
977	2804	11534
978	2808	11534
979	2812	11537
980	2817	11541
981	2820	11538
982	2823	11536
983	2826	11534
984	2829	11534
985	2832	11530
986	2835	11528
987	2838	11525
988	2841	11525
989	2844	11522
990	2847	11518
991	2850	11515
992	2853	11513
993	2856	11512
994	2859	11511
995	2863	11510
996	2866	11509
997	2869	11508
998	2872	11505
999	2876	11506
1000	2879	11503
1001	2882	11501
1002	2885	11497
1003	2888	11495
1004	2890	11491
1005	2893	11489
1006	2896	11485
1007	2899	11481
1008	2901	11477
1009	2904	11474
1010	2907	11471
1011	2910	11468
1012	2912	11464
1013	2915	11461
1014	2918	11459
1015	2921	11456
1016	2924	11452
1017	2927	11449
1018	2929	11446
1019	2932	11444
1020	2935	11440
1021	2938	11437
1022	2941	11434
1023	2943	11429
1024	2946	11427
1025	2949	11422
1026	2951	11419
1027	2954	11415
1028	2956	11411
1029	2959	11408
1030	2962	11404
1031	2965	11400
1032	2967	11396
1033	2969	11391
1034	2972	11388
1035	2975	11384
1036	2978	11380
1037	2980	11376
1038	2983	11373
1039	2985	11369
1040	2988	11365
1041	2991	11364
1042	2994	11360
1043	2996	11356
1044	2999	11353
1045	3002	11348
1046	3005	11345
1047	3007	11342
1048	3010	11338
1049	3012	11334
1050	3015	11330
1051	3018	11328
1052	3022	11327
1053	3024	11325
1054	3027	11320
1055	3030	11318
1056	3033	11315
1057	3036	11313
1058	3039	11309
1059	3041	11305
1060	3044	11302
1061	3046	11298
1062	3049	11293
1063	3052	11290
1064	3054	11285
1065	3056	11281
1066	3059	11276
1067	3061	11271
1068	3064	11267
1069	3066	11263
1070	3068	11258
1071	3071	11254
1072	3073	11249
